Pressure,Humidity,Temperature,Speed,WindDirection(Degrees),UNIXTime,Date_num,Radiation_rf
30.44,75.9604618118948,53.0,6.75,75.85,0.5030981393700451,0.5055144709827945,574.41361400339
30.42285534591195,31.0,46.0,6.303767814309943,173.63,1.559344249980516,1.5684140280146153,7.5922341380733345
30.46,99.0,48.0,1.12,220.98,0.22786338829873176,0.2182443204336536,2.0535408031799967
30.42285534591195,88.0,43.0,16.36461333,208.21,1.7509458368037163,1.7407761183440997,1.5364523417200004
30.42,96.0,52.0,4.5,163.78,-1.6903531076607512,-1.6777386731906756,8.846697556989996
30.48,60.0,51.9277458771469,3.37,97.03,1.428936607050968,1.424778952740045,234.159803513017
30.37,102.0,52.0,9.0,318.53,1.172469373196183,1.1662358172458183,47.05189525941009
30.44,75.9604618118948,47.0,3.37,111.14,0.5755150186565933,0.5629685010926225,72.48886529465335
30.5,79.0,60.0,7.87,25.93,-1.449236066882979,-1.4479225527513628,562.1800948059999
30.45,38.0,64.0,6.75,4.13,0.1033729666460817,0.1033362602139973,903.4398072929997
30.4,101.0,56.0,3.37,94.43,-0.3814438099169178,-0.385022995719542,309.62663022191396
30.43,64.0,51.9277458771469,11.25,9.17,0.36333300703599086,0.361879395708224,522.959475833297
30.39,89.0,41.0,10.12,153.87,0.6408555064852226,0.6491495462573648,2.579127073199996
30.44,54.0,65.0,9.0,45.08,-0.6460947320462594,-0.6435661312137687,930.2336374663345
30.27,50.0,40.0,10.12,191.19,1.26612972528385,1.2524168624105605,4.471646840196671
30.43,20.0,51.0,14.62,176.73,0.4698739145258449,0.4767874559278803,12.927958746603327
30.49,27.0,50.0,7.87,177.82,-0.4849893631352182,-0.47120404088428425,4.290869465016665
30.31,93.0,45.0,2.25,260.14,0.9438272115093975,0.9364196968065056,1.1226913845699982
30.49,33.0,50.0,6.75,161.36,0.1264163786869783,0.13206327526891137,35.7098343172234
30.46,73.0,60.0,5.62,28.35,-1.73573997384494,-1.7351927033005037,791.5558226163334
30.48,15.0,147.1543076,5.62,174.26,-0.4182516196839125,-0.4137500107744561,608.5270184601891
30.35,196.8310236,51.9277458771469,6.75,158.38,0.9199847501440622,0.9076926817515915,152.0324855349801
30.56,83.0,48.0,7.87,166.95,1.408093490215985,1.3960519376851308,58.28560604345672
30.44,27.0,48.0,15.75,150.17,1.497879301010119,1.5109599979047872,1.5289683684033357
30.42,59.0,65.0,3.37,69.08,-0.644100267690045,-0.6435661312137687,970.5424402293334
